Start Date	End Date	Headline	Text	Media	Media Credit	Media Caption	Media Thumbnail	Type	Tag	Speaker	Speaker_url	Description
11/12/2015 12:15:00	11/12/2015 13:00:00	Android Reverse Engineering with ARES	<strong>Dario Incalza</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2015/09/dario.png" alt="speaker_img"/><br/>In this talk Dario Incalza will shed a light on Reverse engineering Android applications: tools and countermeasures. Dario has developed a tool to ease Android reverse engineering. It is useful to inspect malware suspected applications. Work is an ongoing opensource project.						Erasmus Room 2	Dario Incalza	http://www.babbq.nl/wp-content/uploads/2015/09/dario.png	In this talk Dario Incalza will shed a light on Reverse engineering Android applications: tools and countermeasures. Dario has developed a tool to ease Android reverse engineering. It is useful to inspect malware suspected applications. Work is an ongoing opensource project.
11/12/2015 13:00:00	11/12/2015 14:00:00	Lunch	 	http://cdn1.iconfinder.com/data/icons/dot/128/restaurant_food.png			http://cdn1.iconfinder.com/data/icons/windows8_icons/26/restaurant.png		University Room			
11/12/2015 14:00:00	11/12/2015 14:45:00	Android and Offline Data	<strong>Christopher Pick</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2015/10/chris.png" alt="speaker_img"/><br/>Some higher level background and experience from building two very different applications for use in an offline environment. From micro services to orchestration/aggregating services. Discuss implications of using each, and some of the storage mechanisms that can be used to handle those services. Utilizing sync adapters, content providers, sqlite databases to ORMs.. This will be pretty light on code, heavy on theory for achieving offline functionality.						University Room	Christopher Pick	http://www.babbq.nl/wp-content/uploads/2015/10/chris.png	Some higher level background and experience from building two very different applications for use in an offline environment. From micro services to orchestration/aggregating services. Discuss implications of using each, and some of the storage mechanisms that can be used to handle those services. Utilizing sync adapters, content providers, sqlite databases to ORMs.. This will be pretty light on code, heavy on theory for achieving offline functionality.
11/12/2015 14:00:00	11/12/2015 14:45:00	Xamarin for Android developers	<strong>Aleksander Piotrowski</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2015/10/Aleksander.png" alt="speaker_img"/><br/>Most of us heard about Xamarin and very often ignored it as yet another phonegap clone. Let’s compare Xamarin with Android development as we know it today and see how (un)fair this this comparison really is.   Most recently Applause created an SDK component for Xamarin and found out this platform gives us all the tools mature dev platform should have like strong leadership, lively community, including their own Jake Wharton ;-), “modern” IDE, cool programming language, erm, C# that is 😉 Sadly it’s not “write once and run everywhere” but Xamarin, if used correctly, can be “write once, tweak a bit, and run everywhere”.						Erasmus Room 1	Aleksander Piotrowski	http://www.babbq.nl/wp-content/uploads/2015/10/Aleksander.png	Most of us heard about Xamarin and very often ignored it as yet another phonegap clone. Let’s compare Xamarin with Android development as we know it today and see how (un)fair this this comparison really is. Most recently Applause created an SDK component for Xamarin and found out this platform gives us all the tools mature dev platform should have like strong leadership, lively community, including their own Jake Wharton ;-), “modern” IDE, cool programming language, erm, C# that is 😉 Sadly it’s not “write once and run everywhere” but Xamarin, if used correctly, can be “write once, tweak a bit, and run everywhere”.
11/12/2015 14:00:00	11/12/2015 14:45:00	t.b.a.							Erasmus Room 2			
11/12/2015 14:45:00	11/12/2015 15:30:00	Understanding Gradle for Android	<strong>Kevin Pelgrims</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2015/08/kevin92.png" alt="speaker_img"/><br/>As a Gradle enthusiast, it pains Kevin Pelgrims to see that Android developers do not understand how Gradle works, even if it could make their work significantly easier. Gradle is capable of a lot more than just building your Android apps or libraries. You can automate every aspect of your build process: versioning, APK renaming and shrinking, generating test reports, …						University Room	Kevin Pelgrims	http://www.babbq.nl/wp-content/uploads/2015/08/kevin92.png	As a Gradle enthusiast, it pains Kevin Pelgrims to see that Android developers do not understand how Gradle works, even if it could make their work significantly easier. Gradle is capable of a lot more than just building your Android apps or libraries. You can automate every aspect of your build process: versioning, APK renaming and shrinking, generating test reports, …
11/12/2015 14:45:00	11/12/2015 15:30:00	Lollipop Animations	<strong>Matt Compton</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2015/09/matt.png" alt="speaker_img"/><br/>Many applications exclude animations – deeming them unnecessary or too costly or not “”worth it””. Animations can delight users and help craft a positive experience inside of an app, so Matt wants to show beginners how simple and easy it is to add meaningful animations to an existing application. Animation usage also swings in the opposite direction – some apps over-use and overwhelm a user with unnecessary or annoying animations. Matt is hoping to show a simple middle-ground, showing you how to implement the newest Android animations and when to use them.						Erasmus Room 1	Matt Compton	http://www.babbq.nl/wp-content/uploads/2015/09/matt.png	Many applications exclude animations – deeming them unnecessary or too costly or not “”worth it””. Animations can delight users and help craft a positive experience inside of an app, so Matt wants to show beginners how simple and easy it is to add meaningful animations to an existing application. Animation usage also swings in the opposite direction – some apps over-use and overwhelm a user with unnecessary or annoying animations. Matt is hoping to show a simple middle-ground, showing you how to implement the newest Android animations and when to use them.
11/12/2015 15:30:00	11/12/2015 16:15:00	Right-to-Left Languages in Android	<strong>Danny Preussler</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2015/08/danny92.jpg" alt="speaker_img"/><br/>What happens when the language supported is a right-to-left one like hebrew. How does it affect the UI? What are the implications and how can developers and even designers overcome certain pitfalls. Working at Groupon, Danny Preussler will show that with some simple changes the app could have decent RTL support. Ever reversed a viewpager or a calendar?						University Room	Danny Preussler	http://www.babbq.nl/wp-content/uploads/2015/08/danny92.jpg	What happens when the language supported is a right-to-left one like hebrew. How does it affect the UI? What are the implications and how can developers and even designers overcome certain pitfalls. Working at Groupon, Danny Preussler will show that with some simple changes the app could have decent RTL support. Ever reversed a viewpager or a calendar?
11/12/2015 16:15:00	11/12/2015 20:00:00	Big Android BBQ Party & Girl Geek dinner	<strong>Big Android BBQ & Girl Geek dinner</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2013/11/bbq2013.png" alt="speaker_img"/><br/>Party time.. Music, good food, plenty of drinks and maybe a small dance? Geek Girls will be here and it will be a great time to get to know each other.				http://i49.tinypic.com/2nlg6fl.png		University Room	Big Android BBQ & Girl Geek dinner	http://www.babbq.nl/wp-content/uploads/2013/11/bbq2013.png	Party time.. Music, good food, plenty of drinks and maybe a small dance? Geek Girls will be here and it will be a great time to get to know each other.
11/12/2015 17:00:00	11/12/2015 17:45:00	CLICK HERE FOR PROGRAM DAY 2 !	Please click on the arrow on the right side of this screen to move to the full program of Day 2 at Big Android BBQ 2015						Erasmus Room 2			
11/13/2015 8:30:00	11/13/2015 9:30:00	Big Android BBQ Europe 2015 Day 2	Doors open / registration	http://developer.android.com/images/brand/Android_Robot_200.png			http://cdn1.iconfinder.com/data/icons/WPZOOM_Social_Networking_Icon_Set/24/android.png		University Room			
11/13/2015 9:30:00	11/13/2015 10:15:00	10 ways to improve your Android app performance	<strong>Boris Farber</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2015/08/boris92.jpg" alt="speaker_img"/><br/>As a Developer Advocate at Google, Boris Farber is exposed to various Android apps. He brings together several rules of thumb: working, best practice solutions for improving your Android app performance, while avoiding the common pitfalls. This talk will deal with: Activity leaks, scrolling, concurrency APIs, deprecation, JNI, architecture, miscellany.				http://cdn1.iconfinder.com/data/icons/pidginsmilies/coffee.png		University Room	Boris Farber	http://www.babbq.nl/wp-content/uploads/2015/08/boris92.jpg	As a Developer Advocate at Google, Boris Farber is exposed to various Android apps. He brings together several rules of thumb: working, best practice solutions for improving your Android app performance, while avoiding the common pitfalls. This talk will deal with: Activity leaks, scrolling, concurrency APIs, deprecation, JNI, architecture, miscellany.
11/13/2015 10:15:00	11/13/2015 11:00:00	t.b.a.							University Room			
11/13/2015 10:15:00	11/13/2015 11:00:00	Interfacing with Sensors	<strong>Michael Schloh von Bennewitz</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2015/09/michael.png" alt="speaker_img"/><br/>This session describes the science of Android environment sensing with respect to the IoT. It teaches characteristic theory of IoT components as well as making development recommendations for use cases like Home Automation or Sport Wearables. A series of live demonstrations serve to illustrate the topic at hand.						Erasmus Room 1	Michael Schloh von Bennewitz	http://www.babbq.nl/wp-content/uploads/2015/09/michael.png	This session describes the science of Android environment sensing with respect to the IoT. It teaches characteristic theory of IoT components as well as making development recommendations for use cases like Home Automation or Sport Wearables. A series of live demonstrations serve to illustrate the topic at hand.
11/13/2015 11:00:00	11/13/2015 11:30:00	Coffee break		http://rlv.zcache.com/android_mug-p168172001597968731enw9p_400.jpg	Coffee		http://cdn1.iconfinder.com/data/icons/pidginsmilies/coffee.png		University Room			
11/13/2015 11:30:00	11/13/2015 12:15:00	Do Anything You Want to Any ChromeCast Screen, Natively	<strong>Maarten Edgar</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2015/10/maarten.png" alt="speaker_img"/><br/>A hands-on tour to getting a separately driven SurfaceView to display on a ChromeCast through Android programming using the latest, just released ChromeCast API’s, without any HTML programming or even having to register the ChromeCast. Using his experience gained from having developed a Google Play released app, Maarten will show attendees how to use their current knowledge of Android programming to make whatever they want appear on any HDMI display device. They will be guided through the installation of the necessary libraries and Android Studio setup, the different methods of getting content to show up on the ChromeCast and the use of the latest post I/O 2015 released API’s to literally display anything they can program on their big screen.						University Room	Maarten Edgar	http://www.babbq.nl/wp-content/uploads/2015/10/maarten.png	A hands-on tour to getting a separately driven SurfaceView to display on a ChromeCast through Android programming using the latest, just released ChromeCast API’s, without any HTML programming or even having to register the ChromeCast. Using his experience gained from having developed a Google Play released app, Maarten will show attendees how to use their current knowledge of Android programming to make whatever they want appear on any HDMI display device. They will be guided through the installation of the necessary libraries and Android Studio setup, the different methods of getting content to show up on the ChromeCast and the use of the latest post I/O 2015 released API’s to literally display anything they can program on their big screen.
11/13/2015 11:30:00	11/13/2015 12:15:00	Testing it and loving it	<strong>Zan Markan</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2015/10/zan.png" alt="speaker_img"/><br/>Looking at most Android projects lying around on github, Zan Markan is sad to see testing has not taken the front row seat it deserves – most projects still sport the auto generated stub for ApplicationTestCase. Zan will go through the testing journey with some examples on what to test, how to write tests, and trying to make sense of all the tools that enable our testing. Unit testing, Robolectric, Espresso, Calabash, etc…						Erasmus Room 1	Zan Markan	http://www.babbq.nl/wp-content/uploads/2015/10/zan.png	Looking at most Android projects lying around on github, Zan Markan is sad to see testing has not taken the front row seat it deserves – most projects still sport the auto generated stub for ApplicationTestCase. Zan will go through the testing journey with some examples on what to test, how to write tests, and trying to make sense of all the tools that enable our testing. Unit testing, Robolectric, Espresso, Calabash, etc…
11/13/2015 11:30:00	11/13/2015 12:15:00	t.b.a.							Erasmus Room 2			
11/13/2015 12:15:00	11/13/2015 13:00:00	Let’s Play! – Building a VR Sandbox	<strong>Etienne Caron</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2015/08/etienne921.jpg" alt="speaker_img"/><br/>Using a combination of scripting and live shader updates over Firebase, combined with off the shelf devices such as Project Tango tablets and Android Wear devices, Etienne Caron has built and will demonstrate an Android toolchain allowing developers to get instant feedback when building VR spaces and experiences in the Android ecosystem.						University Room	Etienne Caron	http://www.babbq.nl/wp-content/uploads/2015/08/etienne921.jpg	Using a combination of scripting and live shader updates over Firebase, combined with off the shelf devices such as Project Tango tablets and Android Wear devices, Etienne Caron has built and will demonstrate an Android toolchain allowing developers to get instant feedback when building VR spaces and experiences in the Android ecosystem.
11/13/2015 12:15:00	11/13/2015 13:00:00	Event Buses: The @channel of Android Architecture	<strong>Bill Phillips</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2015/09/bill.png" alt="speaker_img"/><br/>Channel notifications. If you know them, you probably have an opinion about them. Maybe they’re annoying and contribute to organizational noise. Maybe they help you get important things done quickly. 
  
 Event buses. If you know them, you probably have an opinion about them. Maybe they’re annoying and contribute to organizational noise. Maybe they help you get important things done quickly.						Erasmus Room 1	Bill Phillips	http://www.babbq.nl/wp-content/uploads/2015/09/bill.png	Channel notifications. If you know them, you probably have an opinion about them. Maybe they’re annoying and contribute to organizational noise. Maybe they help you get important things done quickly. Event buses. If you know them, you probably have an opinion about them. Maybe they’re annoying and contribute to organizational noise. Maybe they help you get important things done quickly.
11/13/2015 12:15:00	11/13/2015 13:00:00	Mission Relevance-oriented notification design 	<strong>Anke Hans</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2015/09/anke.png" alt="speaker_img"/><br/>Anke’s personal response to mobile notifications became unsatisfying so she researched mobile notification culture and became a self-proclaimed notification philosopher.
  
 Current notification design is realtime driven. Because smartphone users are generally incapable of processing large amounts of realtime stimuli, this design is causing a new chronic low-level stress called notification stress. A relevance-oriented notification design would better suit the individual information needs of smartphone users.						Erasmus Room 2	Anke Hans	http://www.babbq.nl/wp-content/uploads/2015/09/anke.png	Anke’s personal response to mobile notifications became unsatisfying so she researched mobile notification culture and became a self-proclaimed notification philosopher. Current notification design is realtime driven. Because smartphone users are generally incapable of processing large amounts of realtime stimuli, this design is causing a new chronic low-level stress called notification stress. A relevance-oriented notification design would better suit the individual information needs of smartphone users.
11/13/2015 13:00:00	11/13/2015 14:00:00	Lunch		http://cdn1.iconfinder.com/data/icons/dot/128/restaurant_food.png			http://cdn1.iconfinder.com/data/icons/windows8_icons/26/restaurant.png		University Room			
11/13/2015 14:00:00	11/13/2015 14:45:00	IPC & AIDL: Sexy, not a curse	<strong>Yonatan Levin</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2015/09/yonatan.png" alt="speaker_img"/><br/>Understanding more about the architecture and what is actually going on in the platform will help you write better applications (Chet Haase and Romain Guy). Yonatan Levin wants to take a moment and go deep into the Android IPC architecture, he will start the journey with interprocess communication throughout the small talk with Binder via AIDL all the way to the service on separate process and finish with a Star wars application with a great performance.						University Room	Yonatan Levin	http://www.babbq.nl/wp-content/uploads/2015/09/yonatan.png	Understanding more about the architecture and what is actually going on in the platform will help you write better applications (Chet Haase and Romain Guy). Yonatan Levin wants to take a moment and go deep into the Android IPC architecture, he will start the journey with interprocess communication throughout the small talk with Binder via AIDL all the way to the service on separate process and finish with a Star wars application with a great performance.
11/13/2015 14:00:00	11/13/2015 14:45:00	Striptease of The Android Permissions System	<strong>Alizée Penel & Alexis Rosovsky</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2015/09/alizee.png" alt="speaker_img"/><br/>In the current context where customers are more sensible about protecting their privacy, our duty as developers is to
 consider security in our developments. Google did understand this global problematic and provides in Android OS
 different kinds of security systems: selinux, permissions system, etc.
  
 Throughout this talk, Alizée Penel & Alexis Rosovsky are going to present how the Android permission system is implemented, all the way from the kernel to the application layer. 						Erasmus Room 1	Alizée Penel & Alexis Rosovsky	http://www.babbq.nl/wp-content/uploads/2015/09/alizee.png	In the current context where customers are more sensible about protecting their privacy, our duty as developers is to consider security in our developments. Google did understand this global problematic and provides in Android OS different kinds of security systems: selinux, permissions system, etc. Throughout this talk, Alizée Penel & Alexis Rosovsky are going to present how the Android permission system is implemented, all the way from the kernel to the application layer.
11/13/2015 14:00:00	11/13/2015 14:45:00	t.b.a.							Erasmus Room 2			
11/13/2015 14:45:00	11/13/2015 15:30:00	With a little help from my libs	<strong>Royi Benyossef</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2015/09/royi.png" alt="speaker_img"/><br/>Android’s support libraries have become a necessity for most developers. They contain a veritable cornucopia of essentials components, abilities and functionalities essential for creating a cohesive premium user experience, not only for the latest and greatest devices and API levels but for the majority of end-users. Royi Benyossef will explain that the only problem is that most developers only know a fraction of the abilities offered to them and do not posses the basic knowledge on where to find what.
  
 This session is aimed at educating the developers regarding the tools that the support libraries offer as well as examples on how to use them.						University Room	Royi Benyossef	http://www.babbq.nl/wp-content/uploads/2015/09/royi.png	Android’s support libraries have become a necessity for most developers. They contain a veritable cornucopia of essentials components, abilities and functionalities essential for creating a cohesive premium user experience, not only for the latest and greatest devices and API levels but for the majority of end-users. Royi Benyossef will explain that the only problem is that most developers only know a fraction of the abilities offered to them and do not posses the basic knowledge on where to find what. This session is aimed at educating the developers regarding the tools that the support libraries offer as well as examples on how to use them.
11/13/2015 14:45:00	11/13/2015 15:30:00	t.b.a.							Erasmus Room 1			
11/13/2015 15:30:00	11/13/2015 16:15:00	Zalando App Failures and Retrospectives	<strong>Raymond Chenon</strong><br/><img src="http://www.babbq.nl/wp-content/uploads/2015/10/raymond.png" alt="speaker_img"/><br/>Joining Zalando before the IPO when the Android app was started by only 2 backend developers, Raymond will share with you ‘Best Practices’ and the mistakes they learnt from. In this session, Raymond will share some stories on how the most unexpected tiny error had the biggest impact on production. Here is the list : – Google Play Store release that went wrong before being featured as Editors’ Choice. – the wrong country of the user . – Apps Deep Links – Wrong app title. A library overrides your app title in a language not covered by your app. – the big refactoring that went wrong. Learn how to scope a refactoring. – Marshmallow permissions						University Room	Raymond Chenon	http://www.babbq.nl/wp-content/uploads/2015/10/raymond.png	Joining Zalando before the IPO when the Android app was started by only 2 backend developers, Raymond will share with you ‘Best Practices’ and the mistakes they learnt from. In this session, Raymond will share some stories on how the most unexpected tiny error had the biggest impact on production. Here is the list : – Google Play Store release that went wrong before being featured as Editors’ Choice. – the wrong country of the user . – Apps Deep Links – Wrong app title. A library overrides your app title in a language not covered by your app. – the big refactoring that went wrong. Learn how to scope a refactoring. – Marshmallow permissions
